单号,area,weight,date,cp,fee
YT6231117323700,河北省,3.08,2022-01-03,廊坊中通,5.3
YT6229857497091,山西省,3.09,2022-01-03,廊坊中通,5.3
YT6231117323981,北京,3.09,2022-01-03,廊坊中通,5.8
YT6231114332292,北京,3.1,2022-01-03,廊坊中通,5.8
YT6229857496944,山西省,3.11,2022-01-03,廊坊中通,5.3
YT6231126584525,河北省,3.12,2022-01-03,廊坊中通,5.3
YT9919663656950,黑龙江省,3.16,2022-01-03,廊坊中通,5.3
YT9919679323686,北京,3.33,2022-01-03,廊坊中通,5.8
YT9919663647194,黑龙江省,3.34,2022-01-03,廊坊中通,5.3
YT9919679286151,河北省,3.34,2022-01-03,廊坊中通,5.3
YT9919679319888,河北省,3.34,2022-01-03,廊坊中通,5.3
YT9919679276520,北京,3.35,2022-01-03,廊坊中通,5.8
YT9919679278375,河北省,3.35,2022-01-03,廊坊中通,5.3
YT9919679322489,河北省,3.35,2022-01-03,廊坊中通,5.3
YT9919543103864,山西省,3.36,2022-01-03,廊坊中通,5.3
YT9919679135902,河北省,3.36,2022-01-03,廊坊中通,5.3
YT9919679302528,北京,3.36,2022-01-03,廊坊中通,5.8
YT9919679230419,河北省,3.37,2022-01-03,廊坊中通,5.3
YT9919679234333,北京,3.37,2022-01-03,廊坊中通,5.8
YT9919679305997,河北省,3.37,2022-01-03,廊坊中通,5.3
YT9919679306312,河北省,3.37,2022-01-03,廊坊中通,5.3
YT9919679312333,河北省,3.37,2022-01-03,廊坊中通,5.3
YT9919679313958,河北省,3.37,2022-01-03,廊坊中通,5.3
YT6231151303477,北京,3.38,2022-01-03,廊坊中通,5.8
YT9919679143199,山西省,3.38,2022-01-03,廊坊中通,5.3
YT9919679255780,河北省,3.38,2022-01-03,廊坊中通,5.3
YT9919679314151,河北省,3.38,2022-01-03,廊坊中通,5.3
YT9925838056170,河北省,3.38,2022-01-03,廊坊中通,5.3
YT9919542932850,山西省,3.39,2022-01-03,廊坊中通,5.3
YT9919679138155,北京,3.39,2022-01-03,廊坊中通,5.8
YT9919679254677,河北省,3.39,2022-01-03,廊坊中通,5.3
YT9919679259865,山西省,3.39,2022-01-03,廊坊中通,5.3
YT9919679278164,河北省,3.39,2022-01-03,廊坊中通,5.3
YT9919679289818,河北省,3.39,2022-01-03,廊坊中通,5.3
YT9919679318933,河北省,3.39,2022-01-03,廊坊中通,5.3
YT6230258254055,山西省,3.4,2022-01-03,廊坊中通,5.3
YT9919663574260,黑龙江省,3.4,2022-01-03,廊坊中通,5.3
YT9919679228117,河北省,3.4,2022-01-03,廊坊中通,5.3
YT9919679277891,河北省,3.4,2022-01-03,廊坊中通,5.3
YT9919679281679,河北省,3.4,2022-01-03,廊坊中通,5.3
YT9919679297588,河北省,3.4,2022-01-03,廊坊中通,5.3
YT9925838054530,河北省,3.4,2022-01-03,廊坊中通,5.3
YT9919663627997,黑龙江省,3.41,2022-01-03,廊坊中通,5.3
YT9919663603044,黑龙江省,3.42,2022-01-03,廊坊中通,5.3
YT9919663633899,黑龙江省,3.42,2022-01-03,廊坊中通,5.3
YT9919663658472,黑龙江省,3.42,2022-01-03,廊坊中通,5.3
YT9919679253034,河北省,3.42,2022-01-03,廊坊中通,5.3
YT9919679307554,河北省,3.42,2022-01-03,廊坊中通,5.3
YT9925838030540,山西省,3.42,2022-01-03,廊坊中通,5.3
YT9919663617786,黑龙江省,3.43,2022-01-03,廊坊中通,5.3
YT9919679245199,山西省,3.43,2022-01-03,廊坊中通,5.3
YT9919679245730,山西省,3.44,2022-01-03,廊坊中通,5.3
YT6231205963548,北京,3.48,2022-01-03,廊坊中通,5.8
YT9919679261690,北京,3.48,2022-01-03,廊坊中通,5.8
YT6230258253766,北京,3.49,2022-01-03,廊坊中通,5.8
YT6231205963665,河北省,3.5,2022-01-03,廊坊中通,5.3
YT9919704553828,河北省,3.5,2022-01-03,廊坊中通,5.3
YT9919679128332,天津,3.51,2022-01-03,廊坊中通,5.3
YT9919679262739,天津,3.52,2022-01-03,廊坊中通,5.3
YT6230258253955,河北省,3.66,2022-01-03,廊坊中通,5.3
YT6229837416573,天津,3.68,2022-01-03,廊坊中通,5.3
YT6229837416674,北京,3.72,2022-01-03,廊坊中通,5.8
YT6230373644345,山西省,3.72,2022-01-03,廊坊中通,5.3
YT9925844833022,山西省,3.72,2022-01-03,廊坊中通,5.3
YT9925789633527,天津,3.72,2022-01-03,廊坊中通,5.3
YT9919704547479,北京,3.72,2022-01-03,廊坊中通,5.8
YT9919704586799,北京,3.72,2022-01-03,廊坊中通,5.8
YT9919704545793,河北省,3.72,2022-01-03,廊坊中通,5.3
YT9919704617608,山西省,3.72,2022-01-03,廊坊中通,5.3
YT9919704556100,河北省,3.72,2022-01-03,廊坊中通,5.3
YT9919704544255,山西省,3.72,2022-01-03,廊坊中通,5.3
YT9919704577498,山西省,3.72,2022-01-03,廊坊中通,5.3
YT9919704576391,天津,3.72,2022-01-03,廊坊中通,5.3
YT9925833292490,河北省,3.72,2022-01-03,廊坊中通,5.3
YT9919704614550,河北省,3.72,2022-01-03,廊坊中通,5.3
YT9926033893199,河北省,3.72,2022-01-03,廊坊中通,5.3
YT9926033900464,河北省,3.72,2022-01-03,廊坊中通,5.3
YT9926033885800,河北省,3.72,2022-01-03,廊坊中通,5.3
YT9926033897553,河北省,3.72,2022-01-03,廊坊中通,5.3
YT9926033883532,河北省,3.72,2022-01-03,廊坊中通,5.3
YT9926033877484,河北省,3.72,2022-01-03,廊坊中通,5.3
YT9926033862573,河北省,3.72,2022-01-03,廊坊中通,5.3
